id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
1049,0,1,Female,2,2,Other,2,Kentucky,East South Central,South
1050,1,1,Female,3,4,Black,1,Kentucky,East South Central,South
1051,1,1,Male,3,1,Hispanic,2,California,Pacific,West
1052,1,0,Female,3,3,Hispanic,2,California,Pacific,West
1053,1,1,Female,2,3,Other,3,South Carolina,South Atlantic,South
1054,1,1,Male,5,5,White,3,Oregon,Pacific,West
1055,1,1,Male,2,4,Other,2,Louisiana,West South Central,South
1056,1,1,Female,5,4,White,2,Texas,West South Central,South
1057,1,1,Female,4,5,Black,2,Maryland,South Atlantic,South
1058,1,1,Female,2,3,Asian,2,Kentucky,East South Central,South
1059,1,1,NA,2,1,Other,1,Iowa,West North Central,Midwest
1060,0,1,Female,3,4,Black,2,NA,NA,NA
1061,1,1,Female,2,2,White,2,North Carolina,South Atlantic,South
1062,1,1,Male,1,1,Hispanic,4,Utah,Mountain,West
1063,1,1,Female,2,2,Black,2,Kentucky,East South Central,South
1064,1,1,Female,2,2,Black,1,Louisiana,West South Central,South
1065,1,1,Female,4,2,White,1,Texas,West South Central,South
1066,1,1,Female,1,2,White,2,Virginia,South Atlantic,South
1067,1,1,Female,4,1,White,3,Washington,Pacific,West
1068,1,1,Female,4,2,Black,2,Louisiana,West South Central,South
1069,0,1,Female,1,1,Hispanic,2,New York,Mid-Atlantic,Northeast
1070,1,1,Male,3,1,Black,3,Kentucky,East South Central,South
1071,1,1,Female,4,4,White,3,DC,South Atlantic,South
1072,0,0,Female,4,3,White,1,Texas,West South Central,South
1073,0,0,Female,3,2,White,2,Michigan,East North Central,Midwest
1074,1,1,Male,3,2,White,2,Ohio,East North Central,Midwest
1075,0,1,Female,1,4,Hispanic,2,Maryland,South Atlantic,South
1076,1,1,Female,2,4,White,3,Colorado,Mountain,West
1077,1,1,Female,4,2,Black,2,Kentucky,East South Central,South
1078,1,1,Female,1,2,Other,2,South Carolina,South Atlantic,South
1079,0,0,Male,3,3,Hispanic,2,Texas,West South Central,South
1080,1,1,Female,2,3,Black,2,New York,Mid-Atlantic,Northeast
1081,1,1,Female,2,4,Hispanic,2,New York,Mid-Atlantic,Northeast
1082,1,1,Female,4,2,Hispanic,2,Colorado,Mountain,West
1083,0,1,Female,3,3,Black,2,Maryland,South Atlantic,South
1084,0,0,Female,2,4,Hispanic,3,Texas,West South Central,South
1085,1,1,Male,4,2,Other,2,Maryland,South Atlantic,South
1086,1,1,Female,1,2,Hispanic,3,Wisconsin,East North Central,Midwest
1087,1,1,Female,3,1,Hispanic,1,New York,Mid-Atlantic,Northeast
1088,0,1,Female,4,3,Black,2,Alabama,East South Central,South
1089,1,1,Female,4,2,Hispanic,2,Iowa,West North Central,Midwest
1090,1,1,Female,3,3,White,2,Kentucky,East South Central,South
1091,1,1,Female,2,2,White,3,Colorado,Mountain,West
1092,1,1,Female,2,2,Hispanic,2,Texas,West South Central,South
1093,1,0,Female,2,2,Hispanic,1,Texas,West South Central,South
1094,1,1,Male,4,1,White,3,Nebraska,West North Central,Midwest
1095,1,1,Female,3,1,Hispanic,2,Ohio,East North Central,Midwest
1096,1,1,Female,4,3,White,2,Kentucky,East South Central,South
1097,1,1,Female,4,4,White,2,Nebraska,West North Central,Midwest
1098,0,0,Female,2,1,Hispanic,1,Montana,Mountain,West
1099,0,1,Female,3,1,Other,2,Kentucky,East South Central,South
1100,1,1,Female,2,4,White,2,DC,South Atlantic,South
1101,1,1,Female,4,2,White,2,Mississippi,East South Central,South
1102,1,1,Female,3,2,Hispanic,2,Wisconsin,East North Central,Midwest
1103,1,1,Female,2,2,White,1,Iowa,West North Central,Midwest
1104,1,1,Female,2,5,Hispanic,2,Louisiana,West South Central,South
1105,1,1,Female,2,4,Other,2,North Carolina,South Atlantic,South
1106,1,0,Female,1,2,Hispanic,2,Virginia,South Atlantic,South
1107,1,1,Female,3,NA,Hispanic,2,California,Pacific,West
1108,1,1,Female,1,2,White,2,Virginia,South Atlantic,South
1109,1,1,Female,3,1,Black,2,Ohio,East North Central,Midwest
1110,1,1,Female,1,3,Hispanic,2,New York,Mid-Atlantic,Northeast
1111,0,0,Female,2,2,Hispanic,NA,New York,Mid-Atlantic,Northeast
1112,1,1,Female,4,3,Hispanic,2,Colorado,Mountain,West
1113,0,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1114,1,1,Female,2,1,Hispanic,1,Oklahoma,West South Central,South
1115,1,1,Male,4,4,White,2,Vermont,New England,Northeast
1116,1,1,Male,2,5,Hispanic,3,California,Pacific,West
1117,1,1,Female,3,2,NA,2,New York,Mid-Atlantic,Northeast
1118,1,1,NA,1,3,Other,2,Nevada,Mountain,West
1119,1,1,Female,4,4,White,2,Texas,West South Central,South
1120,1,1,Female,2,2,Hispanic,2,Maryland,South Atlantic,South
1121,1,1,Male,5,2,White,2,Wisconsin,East North Central,Midwest
1122,1,1,Female,5,3,White,3,South Carolina,South Atlantic,South
1123,1,1,Female,1,2,Hispanic,1,California,Pacific,West
1124,1,1,NA,2,1,White,2,Massachusetts,New England,Northeast
1125,1,1,Female,3,3,White,3,Mississippi,East South Central,South
1126,0,1,Female,2,2,Black,2,California,Pacific,West
1127,0,1,Female,4,4,White,2,Arizona,Mountain,West
1128,1,0,Female,2,1,White,1,Washington,Pacific,West
1129,1,1,Male,1,2,White,2,Utah,Mountain,West
1130,0,1,Female,3,4,White,2,Michigan,East North Central,Midwest
1131,1,1,Female,3,4,Black,2,Tennessee,East South Central,South
1132,0,0,Male,2,2,Hispanic,1,South Carolina,South Atlantic,South
1133,1,0,Female,2,4,Other,2,Kentucky,East South Central,South
1134,1,1,Female,5,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1135,1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
1136,1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1137,1,1,Female,1,2,White,3,Michigan,East North Central,Midwest
1138,0,1,Female,2,1,White,2,Michigan,East North Central,Midwest
1139,1,1,Male,4,5,White,2,Ohio,East North Central,Midwest
1140,0,1,Female,1,3,White,2,Ohio,East North Central,Midwest
1141,1,0,Male,1,2,Other,2,Virginia,South Atlantic,South
1142,0,1,Female,3,3,White,1,Michigan,East North Central,Midwest
1143,1,1,Female,4,4,White,2,Texas,West South Central,South
1144,1,1,Male,1,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1145,0,1,Female,3,3,Black,2,New York,Mid-Atlantic,Northeast
1146,0,1,Female,3,4,White,2,Maryland,South Atlantic,South
1147,1,1,Female,4,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1148,1,1,Male,4,1,Black,1,Ohio,East North Central,Midwest
1149,1,1,Female,5,2,White,3,Tennessee,East South Central,South
1150,1,0,Male,2,4,Hispanic,1,North Carolina,South Atlantic,South
1151,1,0,Female,3,3,White,2,Michigan,East North Central,Midwest
1152,1,1,Female,3,3,White,2,Michigan,East North Central,Midwest
1153,1,1,Female,2,4,Hispanic,2,New York,Mid-Atlantic,Northeast
1154,0,1,Male,1,1,Hispanic,2,Florida,South Atlantic,South
1155,1,1,Female,3,5,Hispanic,3,Florida,South Atlantic,South
1156,0,1,Female,3,1,Black,1,Massachusetts,New England,Northeast
1157,0,1,Female,3,5,Black,2,North Carolina,South Atlantic,South
1158,0,0,Female,2,2,Black,3,Georgia,South Atlantic,South
1159,1,0,Female,2,4,White,2,South Carolina,South Atlantic,South
1160,1,1,Female,3,3,Black,3,Tennessee,East South Central,South
1161,1,0,Female,3,1,White,1,Florida,South Atlantic,South
1162,1,1,Female,3,5,Black,3,Florida,South Atlantic,South
1163,0,1,Female,3,1,Black,2,Ohio,East North Central,Midwest
1164,1,1,Female,2,5,Black,1,Maryland,South Atlantic,South
1165,0,1,Female,2,2,Black,2,Ohio,East North Central,Midwest
1166,1,1,NA,1,2,Hispanic,2,Maryland,South Atlantic,South
1167,1,1,Female,3,3,Hispanic,3,Wisconsin,East North Central,Midwest
1168,0,0,Female,3,3,Hispanic,1,Florida,South Atlantic,South
1169,1,1,Female,5,2,White,2,Virginia,South Atlantic,South
1170,1,0,Female,2,4,White,2,Michigan,East North Central,Midwest
1171,0,1,Female,4,2,White,3,Texas,West South Central,South
1172,1,1,Male,2,2,Black,2,California,Pacific,West
1173,1,1,Female,4,2,Hispanic,2,Virginia,South Atlantic,South
1174,1,1,Female,2,2,Hispanic,2,New York,Mid-Atlantic,Northeast
1175,1,1,Male,3,1,Black,1,Texas,West South Central,South
1176,1,1,Female,3,3,Other,2,Kentucky,East South Central,South
1177,1,1,Female,2,4,Black,3,Wisconsin,East North Central,Midwest
1178,0,1,Female,3,3,Hispanic,3,Tennessee,East South Central,South
1179,0,1,Female,4,1,Black,2,Georgia,South Atlantic,South
1180,1,1,Female,5,1,Other,2,Georgia,South Atlantic,South
1181,0,1,Female,2,2,Black,1,Ohio,East North Central,Midwest
1182,0,0,Female,3,3,Black,2,New York,Mid-Atlantic,Northeast
1183,1,1,Male,3,1,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1184,1,0,Male,2,4,Black,2,Indiana,East North Central,Midwest
1185,1,1,Female,2,3,Other,2,Utah,Mountain,West
1186,1,1,Female,2,5,White,3,Maryland,South Atlantic,South
1187,1,1,Female,2,2,Hispanic,1,California,Pacific,West
1188,0,1,Female,4,2,White,2,Kentucky,East South Central,South
1189,1,1,Female,1,2,Black,1,North Carolina,South Atlantic,South
1190,1,1,Female,1,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1191,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1192,1,1,Female,1,1,Black,1,Pennsylvania,Mid-Atlantic,Northeast
1193,1,1,Male,5,3,White,1,California,Pacific,West
1194,1,0,Female,3,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1195,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1196,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1197,1,1,Female,3,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1198,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1199,0,0,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1200,0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1201,1,0,Male,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1202,0,0,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1203,1,1,Female,3,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1204,1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1205,0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1206,1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1207,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1208,1,1,Male,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1209,1,1,Female,3,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1210,0,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1211,0,1,Female,2,3,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1212,0,0,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1213,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1214,1,1,Female,3,5,NA,2,Pennsylvania,Mid-Atlantic,Northeast
1215,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1216,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1217,0,1,Female,2,4,Hispanic,1,Pennsylvania,Mid-Atlantic,Northeast
1218,0,1,Female,2,4,NA,1,Pennsylvania,Mid-Atlantic,Northeast
1219,1,1,Female,2,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1220,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1221,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1222,1,1,Female,3,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1223,0,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1224,0,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1225,1,1,Female,3,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
1226,0,0,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1227,1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1228,1,1,Female,2,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1229,1,1,Female,3,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1230,0,0,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1231,1,1,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1232,1,1,Male,2,2,Black,2,Pennsylvania,Mid-Atlantic,Northeast
1233,1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1234,0,1,Female,2,1,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1235,0,0,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1236,1,1,Female,3,5,White,3,NA,NA,NA
1237,1,1,Male,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1238,1,1,Female,3,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1239,0,1,Female,2,1,Black,1,Pennsylvania,Mid-Atlantic,Northeast
1240,0,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1241,1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1242,0,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1243,0,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1244,1,1,Female,2,2,White,1,Pennsylvania,Mid-Atlantic,Northeast
1245,0,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1246,1,1,Female,3,1,White,3,Pennsylvania,Mid-Atlantic,Northeast
1247,0,1,Female,2,2,Hispanic,1,Pennsylvania,Mid-Atlantic,Northeast
1248,1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1249,1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1250,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1251,0,1,Female,2,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1252,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1253,0,1,Female,3,1,Other,2,Pennsylvania,Mid-Atlantic,Northeast
1254,0,0,Female,3,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1255,1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1256,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1257,1,1,Female,2,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1258,0,1,Female,2,2,NA,1,Pennsylvania,Mid-Atlantic,Northeast
1259,1,1,Female,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1260,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1261,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1262,1,1,Male,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1263,1,1,Female,3,3,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1264,0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1265,1,1,Female,3,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1266,1,1,Female,2,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1267,1,1,Male,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1268,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1269,0,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1270,1,1,Female,2,5,White,2,Pennsylvania,Mid-Atlantic,Northeast
1271,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1272,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1273,0,1,Female,2,NA,NA,1,Pennsylvania,Mid-Atlantic,Northeast
1274,0,0,Female,2,1,Black,1,Pennsylvania,Mid-Atlantic,Northeast
1275,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1276,1,1,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1277,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1278,0,0,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1279,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1280,1,1,Female,3,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1281,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1282,1,1,Female,3,4,White,2,Utah,Mountain,West
1283,0,0,Female,4,3,Other,1,Oregon,Pacific,West
1284,0,1,Female,3,4,White,2,Oregon,Pacific,West
1285,1,1,Female,2,4,White,3,Wisconsin,East North Central,Midwest
1286,1,1,Male,5,3,White,2,Wisconsin,East North Central,Midwest
1287,0,1,Female,3,5,White,2,New Mexico,Mountain,West
1288,1,1,Female,3,2,White,4,North Carolina,South Atlantic,South
1289,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1290,1,1,Female,3,3,White,3,Florida,South Atlantic,South
1291,1,1,Female,3,3,White,3,Utah,Mountain,West
1292,1,1,Female,3,3,White,2,Missouri,West North Central,Midwest
1293,1,1,Female,2,1,White,2,Virginia,South Atlantic,South
1294,1,1,Female,3,5,White,3,Virginia,South Atlantic,South
1295,1,1,Female,4,2,White,2,New Hampshire,New England,Northeast
1296,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1297,0,0,Female,2,2,White,3,NA,NA,NA
1298,0,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1299,1,1,Female,3,2,White,1,West Virginia,South Atlantic,South
1300,0,1,Male,2,2,White,2,Virginia,South Atlantic,South
1301,1,1,Male,4,2,White,2,North Carolina,South Atlantic,South
1302,1,1,Male,5,2,White,1,Oregon,Pacific,West
1303,1,1,Female,2,5,White,3,Pennsylvania,Mid-Atlantic,Northeast
1304,0,1,Female,3,4,Asian,1,North Carolina,South Atlantic,South
1305,1,1,Female,3,2,White,2,NA,NA,NA
1306,0,0,Male,2,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1307,1,1,Female,2,4,White,3,Pennsylvania,Mid-Atlantic,Northeast
1308,1,0,Female,1,2,NA,3,North Carolina,South Atlantic,South
1309,0,1,Female,2,NA,NA,2,Pennsylvania,Mid-Atlantic,Northeast
1310,1,1,Female,3,4,White,2,NA,NA,NA
1311,0,1,Female,2,1,White,3,Pennsylvania,Mid-Atlantic,Northeast
1312,1,1,Female,5,2,White,3,New Mexico,Mountain,West
1313,1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1314,1,1,Male,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1315,1,1,Female,2,2,White,2,Utah,Mountain,West
1316,1,1,Male,5,4,White,2,Oregon,Pacific,West
1317,0,1,Female,2,4,NA,2,NA,NA,NA
1318,1,0,Female,5,2,White,3,South Carolina,South Atlantic,South
1319,1,1,Female,2,4,White,4,Pennsylvania,Mid-Atlantic,Northeast
1320,1,1,Female,4,3,White,3,North Carolina,South Atlantic,South
1321,0,0,Female,3,3,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1322,1,1,Female,3,4,White,3,North Carolina,South Atlantic,South
1323,1,1,Female,2,3,Other,3,Wisconsin,East North Central,Midwest
1324,1,1,Male,5,5,White,2,Virginia,South Atlantic,South
1325,1,1,Female,3,4,White,1,Oregon,Pacific,West
1326,1,1,Female,4,2,White,1,North Carolina,South Atlantic,South
1327,0,0,Male,3,3,White,2,Oklahoma,West South Central,South
1328,1,1,Male,4,4,White,2,Utah,Mountain,West
1329,1,1,Female,2,2,Hispanic,2,Virginia,South Atlantic,South
1330,1,1,Female,4,2,White,2,Nevada,Mountain,West
1331,0,1,Female,2,1,NA,2,NA,NA,NA
1332,1,1,Male,4,2,White,1,North Dakota,West North Central,Midwest
1333,1,1,Female,3,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1334,1,1,Male,4,5,White,3,Vermont,New England,Northeast
1335,0,1,Female,2,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1336,0,1,Female,2,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1337,0,1,Female,3,1,White,2,Oregon,Pacific,West
1338,1,1,Female,2,2,White,2,Oregon,Pacific,West
1339,1,1,Female,2,1,Hispanic,2,Pennsylvania,Mid-Atlantic,Northeast
1340,1,1,Male,2,4,White,2,Oregon,Pacific,West
1341,1,1,Female,4,4,White,3,Massachusetts,New England,Northeast
1342,1,1,Female,2,4,Other,2,North Carolina,South Atlantic,South
1343,1,1,Female,3,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1344,1,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1345,0,0,Female,3,NA,NA,NA,Pennsylvania,Mid-Atlantic,Northeast
1346,1,1,Female,3,4,NA,2,Virginia,South Atlantic,South
1347,1,0,Female,3,3,NA,2,Pennsylvania,Mid-Atlantic,Northeast
1348,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1349,0,1,Female,2,3,White,3,Pennsylvania,Mid-Atlantic,Northeast
1350,1,1,Female,2,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
1351,1,1,Female,4,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1352,1,1,Female,5,4,White,3,Oregon,Pacific,West
1353,0,1,Female,3,2,Other,2,Virginia,South Atlantic,South
1354,1,0,Female,2,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
1355,1,1,Female,2,4,White,4,Pennsylvania,Mid-Atlantic,Northeast
1356,0,0,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1357,0,0,Female,4,2,Hispanic,1,California,Pacific,West
1358,1,0,Female,3,5,Hispanic,3,Alaska,Pacific,West
1359,1,1,Female,2,4,Black,1,New York,Mid-Atlantic,Northeast
1360,1,1,Female,3,4,White,2,Tennessee,East South Central,South
1361,1,1,Female,3,3,White,2,Texas,West South Central,South
1362,1,1,Female,3,2,Black,2,Texas,West South Central,South
1363,1,1,Female,2,5,White,3,California,Pacific,West
1364,1,1,Female,3,2,White,2,Wisconsin,East North Central,Midwest
1365,0,1,Female,3,2,Hispanic,2,Oregon,Pacific,West
1366,1,0,Female,4,2,White,1,Massachusetts,New England,Northeast
1367,0,1,NA,NA,NA,NA,NA,Pennsylvania,Mid-Atlantic,Northeast
1368,1,1,Female,2,4,White,2,Massachusetts,New England,Northeast
1369,1,0,Female,3,2,White,3,Pennsylvania,Mid-Atlantic,Northeast
1370,0,0,Female,3,2,White,2,Tennessee,East South Central,South
1371,0,0,Female,2,NA,Hispanic,2,NA,NA,NA
1372,1,1,Female,2,4,Hispanic,2,Texas,West South Central,South
1373,1,1,Female,4,5,NA,2,Alabama,East South Central,South
1374,1,1,Female,2,4,White,3,Tennessee,East South Central,South
1375,1,1,Female,3,2,White,1,Utah,Mountain,West
1376,1,1,Female,5,4,White,2,Ohio,East North Central,Midwest
1377,1,1,Female,3,2,Hispanic,1,Ohio,East North Central,Midwest
1378,1,1,Female,2,2,Hispanic,3,Illinois,East North Central,Midwest
1379,1,1,Male,3,2,White,2,Ohio,East North Central,Midwest
1380,1,1,Female,2,4,White,2,Massachusetts,New England,Northeast
1381,1,1,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1382,1,1,Female,2,4,White,2,Tennessee,East South Central,South
1383,1,1,Female,5,1,White,3,North Carolina,South Atlantic,South
1384,0,0,Female,2,3,White,1,North Carolina,South Atlantic,South
1385,1,1,Female,2,4,White,3,Oregon,Pacific,West
1386,1,1,Female,3,1,White,3,Florida,South Atlantic,South
1387,1,1,Female,3,4,White,3,North Carolina,South Atlantic,South
1388,1,0,Female,2,2,Hispanic,2,New Jersey,Mid-Atlantic,Northeast
1389,1,1,Female,2,5,White,3,Arizona,Mountain,West
1390,0,1,Female,3,2,Hispanic,1,Florida,South Atlantic,South
1391,1,1,Female,2,1,White,1,Ohio,East North Central,Midwest
1392,1,1,Female,3,1,Black,1,Georgia,South Atlantic,South
1393,1,1,Female,5,4,White,2,North Carolina,South Atlantic,South
1394,1,1,Female,5,4,White,2,Tennessee,East South Central,South
1395,1,1,Female,1,2,Asian,2,Ohio,East North Central,Midwest
1396,1,0,Female,4,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1397,0,1,Female,1,3,White,2,Michigan,East North Central,Midwest
1398,0,1,Female,2,2,Hispanic,1,Pennsylvania,Mid-Atlantic,Northeast
1399,0,1,Female,3,2,Black,2,Missouri,West North Central,Midwest
1400,1,1,Female,2,5,White,2,Tennessee,East South Central,South
1401,1,1,Female,4,2,White,2,Ohio,East North Central,Midwest
1402,1,1,Female,4,5,White,3,North Carolina,South Atlantic,South
1403,1,1,Female,5,4,White,3,Virginia,South Atlantic,South
1404,0,1,Female,3,3,Black,2,Illinois,East North Central,Midwest
1405,0,0,NA,2,2,Hispanic,1,New York,Mid-Atlantic,Northeast
1406,1,1,Female,2,3,White,2,Wisconsin,East North Central,Midwest
1407,1,1,Male,3,1,White,1,Minnesota,West North Central,Midwest
1408,0,0,Female,3,2,Hispanic,3,Maryland,South Atlantic,South
1409,1,1,Female,2,4,White,3,Maryland,South Atlantic,South
1410,1,1,Female,2,1,Black,1,Ohio,East North Central,Midwest
1411,1,1,Female,2,4,White,3,Oklahoma,West South Central,South
1412,0,0,Female,3,1,White,1,Pennsylvania,Mid-Atlantic,Northeast
1413,1,1,Female,2,3,Hispanic,1,Texas,West South Central,South
1414,1,1,Female,1,2,White,3,Wisconsin,East North Central,Midwest
1415,1,1,NA,1,1,White,1,New Hampshire,New England,Northeast
1416,1,1,Female,3,5,White,4,Massachusetts,New England,Northeast
1417,1,1,Female,2,3,White,2,Ohio,East North Central,Midwest
1418,1,0,Female,3,4,Black,2,Nevada,Mountain,West
1419,1,1,Female,2,5,White,3,Illinois,East North Central,Midwest
1420,1,0,Female,2,2,White,2,Ohio,East North Central,Midwest
1421,1,1,Female,4,3,Hispanic,1,Florida,South Atlantic,South
1422,1,1,Female,4,4,White,3,Virginia,South Atlantic,South
1423,1,1,Female,5,3,White,2,North Carolina,South Atlantic,South
1424,1,1,Male,4,1,Black,2,New York,Mid-Atlantic,Northeast
1425,0,0,Female,3,5,White,3,Michigan,East North Central,Midwest
1426,1,1,Female,3,1,Hispanic,1,Colorado,Mountain,West
1427,1,1,Female,4,4,White,3,Ohio,East North Central,Midwest
1428,1,1,Female,2,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
1429,1,1,Male,5,4,White,2,New Hampshire,New England,Northeast
1430,0,1,Female,3,3,Other,1,South Carolina,South Atlantic,South
1431,0,0,Female,2,4,White,2,Michigan,East North Central,Midwest
1432,1,1,Female,5,2,Hispanic,2,California,Pacific,West
1433,1,1,Female,3,4,White,4,Tennessee,East South Central,South
1434,1,1,Male,2,2,White,2,Ohio,East North Central,Midwest
1435,1,1,Female,2,2,White,1,Montana,Mountain,West
1436,0,0,Female,2,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
1437,1,1,Female,2,3,Black,2,Texas,West South Central,South
1438,1,1,Female,2,4,White,2,Tennessee,East South Central,South
1439,1,1,Male,2,4,White,3,Utah,Mountain,West
