id,covid_vaccine,flu_shot,gender,age_group,education,race,financial_status,US_State,Census_region,Region
807,1,1,Female,2,2,White,2,Michigan,East North Central,Midwest
808,1,1,Female,5,4,White,3,Massachusetts,New England,Northeast
809,1,1,Male,4,4,White,3,South Carolina,South Atlantic,South
810,0,1,Female,5,5,White,2,Louisiana,West South Central,South
811,1,1,Male,4,2,White,3,North Carolina,South Atlantic,South
812,1,1,Female,2,5,White,3,Michigan,East North Central,Midwest
813,1,1,Male,3,4,White,3,Mississippi,East South Central,South
814,1,1,Male,4,4,White,3,Indiana,East North Central,Midwest
815,1,1,Female,5,3,White,2,New York,Mid-Atlantic,Northeast
816,1,1,Male,1,2,White,2,Michigan,East North Central,Midwest
817,1,1,Female,4,5,White,2,Massachusetts,New England,Northeast
818,1,1,Female,4,4,White,2,New York,Mid-Atlantic,Northeast
819,1,1,Female,4,4,Other,3,Texas,West South Central,South
820,1,1,Female,4,2,White,2,Michigan,East North Central,Midwest
821,1,0,Female,5,5,White,2,Michigan,East North Central,Midwest
822,1,1,Male,5,3,White,2,Minnesota,West North Central,Midwest
823,0,1,Female,3,3,White,2,Texas,West South Central,South
824,1,1,Female,1,2,White,2,Pennsylvania,Mid-Atlantic,Northeast
825,1,1,Female,5,3,White,2,Michigan,East North Central,Midwest
826,1,1,Female,4,4,White,2,Florida,South Atlantic,South
827,1,1,Male,5,1,White,2,South Carolina,South Atlantic,South
828,0,1,Female,4,4,White,2,Michigan,East North Central,Midwest
829,1,1,Female,4,5,White,2,Connecticut,New England,Northeast
830,1,1,Female,1,2,White,1,New York,Mid-Atlantic,Northeast
831,0,1,Female,4,2,White,1,West Virginia,South Atlantic,South
832,1,1,Male,4,2,White,2,Illinois,East North Central,Midwest
833,1,1,Male,3,3,White,1,Michigan,East North Central,Midwest
834,0,0,Female,3,NA,NA,2,Michigan,East North Central,Midwest
835,1,1,Female,5,3,White,2,Georgia,South Atlantic,South
836,1,1,Female,5,3,White,1,Michigan,East North Central,Midwest
837,0,0,Male,5,3,White,3,Texas,West South Central,South
838,1,1,Female,5,3,White,3,Tennessee,East South Central,South
839,1,1,Male,4,1,Black,2,New York,Mid-Atlantic,Northeast
840,1,1,Female,4,4,White,2,Michigan,East North Central,Midwest
841,1,1,Female,5,1,White,2,Maryland,South Atlantic,South
842,1,1,Male,5,3,White,2,Ohio,East North Central,Midwest
843,1,1,Female,4,5,White,3,Iowa,West North Central,Midwest
844,1,1,Male,4,1,White,2,Missouri,West North Central,Midwest
845,1,1,Female,5,2,White,2,Arizona,Mountain,West
846,1,1,Female,5,5,White,2,New York,Mid-Atlantic,Northeast
847,1,1,Female,4,1,White,3,California,Pacific,West
848,1,1,Male,4,1,Hispanic,2,Texas,West South Central,South
849,0,1,Male,5,3,White,2,Pennsylvania,Mid-Atlantic,Northeast
850,1,1,Male,5,3,White,3,Texas,West South Central,South
851,1,1,Male,2,1,Black,1,Ohio,East North Central,Midwest
852,0,1,Female,2,2,White,2,New York,Mid-Atlantic,Northeast
853,0,1,Female,3,2,Black,2,Ohio,East North Central,Midwest
854,1,1,Female,4,4,White,2,Massachusetts,New England,Northeast
855,1,1,Female,2,4,White,2,Michigan,East North Central,Midwest
856,0,0,Female,2,4,Black,2,Florida,South Atlantic,South
857,1,1,Female,2,5,Hispanic,3,New York,Mid-Atlantic,Northeast
858,0,1,Female,3,4,White,2,Pennsylvania,Mid-Atlantic,Northeast
859,0,1,Female,2,3,Hispanic,2,California,Pacific,West
860,1,1,Female,4,2,White,1,Ohio,East North Central,Midwest
861,1,0,Female,3,1,Black,1,Maryland,South Atlantic,South
862,1,1,Female,5,4,White,3,Iowa,West North Central,Midwest
863,1,1,Male,4,4,White,2,North Carolina,South Atlantic,South
864,0,0,Female,1,3,Other,2,DC,South Atlantic,South
865,0,1,Female,4,2,White,2,Oregon,Pacific,West
866,1,1,Female,3,4,Other,3,California,Pacific,West
867,1,1,Male,4,2,White,2,New York,Mid-Atlantic,Northeast
868,1,1,Male,2,5,White,2,Florida,South Atlantic,South
869,1,1,Female,5,4,White,3,DC,South Atlantic,South
870,1,1,Female,5,5,White,3,Ohio,East North Central,Midwest
871,0,1,Female,3,1,Black,2,Ohio,East North Central,Midwest
872,1,1,Female,2,5,White,2,Michigan,East North Central,Midwest
873,1,1,Female,2,2,Black,2,Georgia,South Atlantic,South
874,1,1,Male,4,1,White,2,Pennsylvania,Mid-Atlantic,Northeast
875,0,1,Female,2,5,Black,3,Texas,West South Central,South
876,1,1,NA,NA,NA,NA,2,Tennessee,East South Central,South
877,1,1,Female,3,2,NA,2,California,Pacific,West
878,1,1,Female,5,1,White,1,Mississippi,East South Central,South
879,1,1,Female,3,2,Black,3,Maryland,South Atlantic,South
880,0,1,Female,2,3,Hispanic,2,California,Pacific,West
881,1,1,Male,5,3,Black,2,Pennsylvania,Mid-Atlantic,Northeast
882,1,1,Male,4,5,White,3,Minnesota,West North Central,Midwest
883,1,1,Female,2,4,Asian,2,Pennsylvania,Mid-Atlantic,Northeast
884,1,1,Male,4,5,Asian,3,Indiana,East North Central,Midwest
885,1,1,Male,5,3,White,3,Michigan,East North Central,Midwest
886,0,1,Male,5,4,NA,1,Florida,South Atlantic,South
887,1,1,Female,3,2,Black,2,Delaware,South Atlantic,South
888,1,1,Female,5,3,Other,2,Ohio,East North Central,Midwest
889,0,0,Male,2,3,White,2,Michigan,East North Central,Midwest
890,1,1,Female,4,2,White,2,Texas,West South Central,South
891,1,1,Female,5,4,White,2,California,Pacific,West
892,1,1,Male,5,1,White,2,Mississippi,East South Central,South
893,1,1,Female,2,4,White,3,Michigan,East North Central,Midwest
894,1,1,Female,3,3,White,2,Michigan,East North Central,Midwest
